codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
176 | NIPLE DE AR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 150
177 | PORCA 3/8 x 24 FIOS | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
178 | Parafuso sext. M10x25 de rosca polida ou oxid. | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
181 | BUJÃO DE AR 3/8 BSP X M12 X 1,5 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
183 | CONEXÃO DE ENGATE RAPIDO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
186 | Empurrador GMC | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
188 | Parafuso allen c/ cabeça CHATA M6X25 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
187 | SUPORTE FIXÃO DO CILINDRO DO PEDAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 4
187/1 | PARAFUSO ALLEN CAB M5X5 LACRADO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
189 | Empurrador GMC CILINDRO DO PEDAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
190 | BATENTE DO PEDAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 3
191 | SUPORTE FIXÃO DO SERVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 3
192 | ANEL ORING (1117) | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
193 | BUCHA PLASTICA MBB | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 80
194 | BOLOTA P / EMPURRADOR M 12 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
195 | BOLOTA P / EMPURRADOR M 10 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
200 | ALAVANCA DE ACIONAMENTO AGRALE | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 6
201 | PARAFUSO C/CABEÇA SEXT 7/16 * 1" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
202 | ARRUELA LISA 7/16 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
203 | PORCA M16 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
204 | RESERVATORIO DE OLEO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
205 | ROLAMENTO 6001 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
206 | PINO CAB./SEXT. M10*35MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
207 | PARAFUSO SEXT.M12*35MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
207/1 | ARRUELA LISA 1/2" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
207/2 | ARRUELA DE PRESSAO 1/2" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
208 | PULSADOR ELETRICO DO DKV PARTIDA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
209 | 2-BOLOTA PARA CANOS DE AR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511 | EMPURRADOR M 16 X 160 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/1 | EMPURRADOR DO CIL. M10*220MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/2 | EMPURRADOR DO CIL.10*250 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/3 | EMPURRADOR DO SERVO M14*550 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/4 | EMPURRADOR DO CIL. M10*96 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/5 | EMPURRADOR DO CIL. M10*370 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
511/6 | EMPURRADOR DESLOCADO M14 X 400 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
535 | COTOVELO PLASTICO PONTA GROSA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
535/1 | COTOVELO P/CIL.MACHO FEMEA M14x 1 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
536 | PARAFUSO CABEÇA SEXTM12 X 50 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576 | SUPOR.SERVO P/TRATOR M. FERG MF290/292 MOTOCANA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/1 | SUPOR.CIL.MESTRE/ CARREGADEIRA SANTAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/2 | SUPOR.CIL.MESTRE/ CARREGADEIRA MOTOCANA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/3 | LIMITADOR DO PEDAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/4 | ALAVANCA DO CIL. PEDAL 1/4*1"*85 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/5 | SUPORTE DO RESERVATORIO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/6 | SUP.DE SERVO/M FERGUSON 650/660/680/KT 78 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/7 | CHAPA DE ARTICULAÇAO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/8 | SUP.DE SERVO/VALTRA BH TODOS | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/9 | SUP.DO CIL. VALTRA 3 PEÇAS | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/10 | SUPORTE FIXAÇÃO DO SERVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
576/11 | ALAVANCA ACIONAMENTO DO SERVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
590 | FORQUILHA DESLOCADA QUINELATO M 16 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
590/1 | FORQU. TIRANTE ROCHESTER 071752.010002 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
590/2 | PINO DA FORQUILHA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
CO-02 | GRAMPO P/ CAIXA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
590/3 | PINO DA FORQUILHA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
401 | CORPO MC-040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 600
090/4 | FORQUILHA 0 3/8 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
632 | BUCHA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 120
